AssetID,AssetCode,Category,AssetType,Manufacturer,Model,InstallDate,Location,OperatingConditions,FailureModes,MaintenanceStrategy,LastMaintenance,MTBF_hours,Availability_pct,Latitude,Longitude
EZE,COMP-005,Gas Compressors,Reciprocating Compressor,Kooper-Bressler,GMVX-8 (8-cyl Integral),5/10/1995,Station B (OK),"Natural gas, integral engine-compressor, 600 psi discharge",Seal oil leak; Bearing failure,Preventive (quarterly) + Condition Monitoring,9/14/2020,"14,044",95.9,30.98541514,-100.2492506
8X5,COMP-006,Gas Compressors,Reciprocating Compressor,Kooper-Bressler,GMVX-8 (8-cyl Integral),5/10/1995,Station B (OK),"Natural gas, integral engine-compressor, 600 psi discharge",Valve failure; Packing wear,Condition-based PdM; Quarterly inspection,11/24/2019,"15,984",95.3,33.96482505,-97.09817849
ZF9,COMP-007,Gas Compressors,Reciprocating Compressor,Dressler-Rhodes,D-RX 570 (2 throw),11/5/2001,Station B (OK),"Natural gas, 2-stage, discharge ~1000 psi @ 130°F",Valve failure; Piston ring wear,Preventive (quarterly) + Condition Monitoring,7/1/2022,"5,022",96.4,34.02138996,-98.9815365
8IH,COMP-008,Gas Compressors,Reciprocating Compressor,Dressler-Rhodes,D-RX 570 (2 throw),11/5/2001,Station B (OK),"Natural gas, 2-stage, discharge ~1000 psi @ 130°F",Valve failure; Piston ring wear,Condition-based PdM; Quarterly inspection,7/23/2023,"10,870",95.0,30.10754646,-100.3187318
8K2,COMP-020,Gas Compressors,Centrifugal Compressor,Ingerton Rhodes,Centech C1000,4/9/2005,Station B (OK),"Natural gas, centrifugal, 800 psi boost, ~100°F outlet",Seal oil leak; Bearing failure,Preventive (quarterly) + Condition Monitoring,11/11/2020,"16,971",97.1,32.87111052,-101.5892765
NDE,COMP-021,Gas Compressors,Centrifugal Compressor,Ingerton Rhodes,Centech C1000,4/9/2005,Station B (OK),"Natural gas, centrifugal, 800 psi boost, ~100°F outlet",Seal oil leak; Bearing failure,Preventive (quarterly) + Condition Monitoring,10/14/2019,"15,671",96.5,33.20219146,-98.26816357
MBZ,COMP-030,Gas Compressors,Centrifugal Compressor,Elliton,23MXR,6/10/1998,Station B (OK),"Natural gas, centrifugal, 700 psi, ~100°F outlet",Seal oil leak; Bearing failure,Preventive (quarterly) + Condition Monitoring,5/27/2018,"17,566",96.5,34.24232475,-101.4528717
XPQ,VAL-001,Valves,Motor Operated Ball Valve,Camerton,"""24"""" Class 600 Ball Valve""",5/5/2005,Station B (OK),"Natural gas pipeline isolation, remote actuated",Seat wear; Stem leak,Periodic testing (annual),9/5/2020,"62,802",99.1,34.54909688,-100.1471839
L9M,VAL-002,Valves,Motor Operated Ball Valve,Camerton,"""24"""" Class 600 Ball Valve""",5/5/2005,Station B (OK),"Natural gas pipeline isolation, remote actuated",Seat wear; Stem leak,Periodic testing (annual),6/11/2023,"85,358",99.7,30.8442364,-97.25644551
0W9,HX-011,Heat Exchangers,Air Cooled Heat Exchanger,AeroXchange,3-fan Skid Cooler,4/9/2005,Station B (OK),"Compressor oil cooler, 160°F to 120°F, 250 psi oil",Fin corrosion; Fan motor failure,Condition-based (temperature monitoring),9/1/2022,"38,918",97.7,34.98565441,-97.09010669
5JE,HX-012,Heat Exchangers,Air Cooled Heat Exchanger,AeroXchange,3-fan Skid Cooler,4/9/2005,Station B (OK),"Compressor oil cooler, 160°F to 120°F, 250 psi oil",Fin corrosion; Fan motor failure,Preventive (cleaning every 2yr),8/25/2020,"67,636",98.5,34.72738421,-99.03532684
